,Date,Price,Open,High,Low,Vol.,Change %
1456,06/02/2004,110.03,110.48,110.92,109.83,,-0.53%
1457,06/01/2004,110.62,109.42,110.73,109.19,,1.00%
1458,05/31/2004,109.52,110.22,110.45,109.02,,-0.44%
1459,05/28/2004,110.0,110.9,111.09,109.96,,-0.81%
1460,05/27/2004,110.9,111.72,112.15,110.63,,-0.76%
1461,05/26/2004,111.75,111.77,111.98,111.22,,-0.06%
1462,05/25/2004,111.82,112.87,113.37,111.61,,-0.96%
1463,05/24/2004,112.9,112.14,113.02,112.07,,0.40%
1464,05/21/2004,112.45,112.62,113.08,111.72,,-0.29%
1465,05/20/2004,112.78,112.89,113.9,112.69,,-0.18%
1466,05/19/2004,112.98,114.17,114.32,112.39,,-1.14%
1467,05/18/2004,114.28,114.32,114.72,113.32,,-0.09%
1468,05/17/2004,114.38,114.19,114.68,113.03,,0.25%
1469,05/14/2004,114.1,114.66,114.93,113.92,,-0.43%
1470,05/13/2004,114.59,112.9,114.66,112.79,,1.41%
1471,05/12/2004,113.0,112.94,113.5,112.4,,0.08%
1472,05/11/2004,112.91,113.88,114.0,112.87,,-0.79%
1473,05/10/2004,113.81,112.26,114.16,112.18,,1.34%
1474,05/07/2004,112.3,109.84,112.5,109.68,,2.26%
1475,05/06/2004,109.82,108.71,109.9,108.6,,1.00%
1476,05/05/2004,108.73,109.34,109.58,108.28,,-0.56%
1477,05/04/2004,109.34,110.19,110.62,109.2,,-0.83%
1478,05/03/2004,110.25,110.38,110.72,109.78,,-0.14%
1479,04/30/2004,110.41,109.9,110.68,109.76,,0.34%
1480,04/29/2004,110.04,110.06,111.07,109.5,,-0.04%
1481,04/28/2004,110.08,109.47,110.25,108.74,,0.50%
1482,04/27/2004,109.53,108.69,109.88,108.36,,0.74%
1483,04/26/2004,108.73,109.0,109.37,108.25,,-0.42%
1484,04/23/2004,109.19,109.4,109.87,108.55,,-0.20%
1485,04/22/2004,109.41,109.34,109.93,109.1,,0.06%
1486,04/21/2004,109.34,108.73,109.81,108.55,,0.50%
1487,04/20/2004,108.8,108.33,108.9,107.65,,0.36%
1488,04/19/2004,108.41,107.73,108.73,107.6,,0.55%
1489,04/16/2004,107.82,108.15,108.88,107.47,,-0.28%
1490,04/15/2004,108.12,108.64,109.27,108.06,,-0.50%
1491,04/14/2004,108.66,106.63,109.01,106.58,,1.88%
1492,04/13/2004,106.65,105.44,107.03,105.03,,1.15%
1493,04/12/2004,105.44,106.3,106.46,105.23,,-0.90%
1494,04/09/2004,106.4,106.22,106.81,105.94,,0.14%
1495,04/08/2004,106.25,105.25,106.44,105.18,,0.88%
1496,04/07/2004,105.32,105.67,106.16,104.93,,-0.41%
1497,04/06/2004,105.75,105.06,107.28,104.92,,0.75%
1498,04/05/2004,104.96,104.42,105.48,104.11,,0.42%
1499,04/02/2004,104.52,103.64,104.78,103.61,,0.77%
1500,04/01/2004,103.72,104.21,104.51,103.46,,-0.56%
1501,03/31/2004,104.3,105.7,105.95,103.38,,-1.32%
1502,03/30/2004,105.7,105.52,106.25,105.37,,0.16%
1503,03/29/2004,105.53,105.62,105.97,105.23,,-0.38%
1504,03/26/2004,105.93,106.04,106.26,105.52,,-0.22%
